position_group,cluster_id,n_players,feature,mean_z,median_z,mean_raw
FWD,2,107,takeons_attempted_p90,0.5852738312583335,0.6891309649267915,3.7446748057903063
FWD,2,107,takeon_success_pct,0.39227972341866485,0.3898323461657594,42.76427093082519
FWD,2,107,prog_carries_p90,0.864330190649882,0.8672740994902717,3.8443021584918116
FWD,2,107,prog_passes_received_p90,0.6782121761089657,0.6455219044997696,8.536698402022258
FWD,2,107,touches_att_pen_p90,-0.05230813812789865,-0.063006568049504,4.395550588895666
FWD,2,107,crosses_p90,0.9788460008923187,1.1017977501743217,4.009326069892308
FWD,2,107,aerials_won_p90,-0.7251643619521667,-0.8246045848564039,0.6075942913466446
FWD,2,107,fouls_drawn_p90,-0.05135002380864544,-0.0342522016733687,1.4940059914143453
FWD,2,107,tackles_p90,0.45181113665974226,0.4325281301538827,1.3220358884287995
FWD,2,107,recoveries_p90,0.6764227555419757,0.5993762820514601,3.8211081736201393
FWD,2,107,passes_attempted_p90,0.9363297666858826,0.9127594265224792,36.765381003986896
FWD,3,76,goals_p90,1.1880718521010016,1.168619962781547,0.5643710611959577
FWD,3,76,assists_p90,0.20529193579794855,0.051754733733507995,0.16948640083211447
FWD,3,76,npxg_p90,1.4987794743242064,1.389075404780721,0.5254330300031207
FWD,3,76,shots_p90,0.9701198722064779,0.8340770619496645,3.0613583587859288
FWD,3,76,shot_accuracy_pct,0.6872035189140012,0.7242610657029518,42.05616921449116
FWD,3,76,npxg_per_shot,1.206701726846065,1.1860490447482128,0.16457719202153112
FWD,3,76,xag_p90,-0.08390222865516053,-0.0977254925198823,0.13928398082760574
FWD,3,76,key_passes_p90,-0.3043326788019229,-0.3467862254359197,1.071167289152653
FWD,3,76,gca_p90,0.13837203412288182,0.04522164905410025,0.3689112098776277
FWD,3,76,takeons_attempted_p90,-0.4250923322551636,-0.5109262299097539,2.047412727858814
FWD,3,76,takeon_success_pct,-0.31282479819683123,-0.2053812923725461,37.703831920372075
FWD,3,76,prog_carries_p90,-0.47207092414208923,-0.47585988795495815,1.6269192206414578
FWD,3,76,prog_passes_received_p90,-0.13262500475785477,-0.10465523307230701,6.4821382562652134
FWD,3,76,touches_att_pen_p90,0.8405635530803677,0.925738930888651,5.70123578318518
FWD,3,76,crosses_p90,-0.7591220468491628,-0.8242372742323671,0.6542300667517653
FWD,3,76,aerials_won_p90,0.335252992600994,0.35947403571324277,1.8193532570924458
FWD,3,76,fouls_drawn_p90,-0.2697701319747483,-0.2340198348419895,1.3226844700724554
FWD,3,76,tackles_p90,-0.5384169682944795,-0.5926773691119123,0.7432383463215189
FWD,3,76,recoveries_p90,-0.7430457917480018,-0.7149585542842731,2.2853708309821315
FWD,3,76,passes_attempted_p90,-0.6092688300446332,-0.4903324969048821,21.385277142215156
FWD,4,30,goals_p90,0.507383087006279,0.3307094781126996,0.41905994677882935
FWD,4,30,assists_p90,1.535897852318673,1.4551258112776477,0.3253156494007681
FWD,4,30,npxg_p90,0.45017895692153964,0.23734686932256086,0.36079516307735665
FWD,4,30,shots_p90,1.0841392492986315,1.0252306262663093,3.1462379912856284
FWD,4,30,shot_accuracy_pct,0.26257043595627555,0.19290014149084775,39.31591155658677
FWD,4,30,npxg_per_shot,-0.2673071283477519,-0.4188502377749804,0.11559740072032779
FWD,4,30,xag_p90,2.0974252839486613,2.294885430258029,0.34373649121296457
FWD,4,30,key_passes_p90,1.6213997698052631,1.4333277417102197,2.2240583692211477
FWD,4,30,gca_p90,1.876520118290029,1.8524772471578523,0.7248716217439228
FWD,4,30,takeons_attempted_p90,1.2684362836610064,1.2730158107425336,5.185656950024395
FWD,4,30,takeon_success_pct,0.5466337641149693,0.5722096252238223,43.87204883468977
FWD,4,30,prog_carries_p90,1.4094873221368327,1.3090529688842316,5.251439045209101
FWD,4,30,prog_passes_received_p90,1.9578480372555627,1.7417330539853524,11.779135852390143
FWD,4,30,touches_att_pen_p90,1.7922782367500072,1.404311131321176,7.092969650314276
FWD,4,30,crosses_p90,0.7613649098719056,0.8126579012501689,3.2932138225668837
FWD,4,30,aerials_won_p90,-0.9949773359823237,-1.0806998065310207,0.3943132987913009
FWD,4,30,fouls_drawn_p90,0.25780122245021636,-0.026669836390663795,1.732620322713796
FWD,4,30,tackles_p90,0.20884552695585432,0.2507442124478433,1.1611687824836172
FWD,4,30,recoveries_p90,0.2328845501416757,0.21847024915441732,3.341239714244732
FWD,4,30,passes_attempted_p90,1.2515639666614908,1.1657175062503526,41.170482558416985
